127.0.0.1 - - [22/Jun/2018:13:19:23 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:28 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:29 +0530] "GET /CollaborationFrontEnd/c_resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:29 +0530] "GET /CollaborationFrontEnd/c_user/UserListController.js HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:29 +0530] "GET /CollaborationFrontEnd/c_resources/css/theme.css HTTP/1.1" 200 131226
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:29 +0530] "GET /CollaborationFrontEnd/c_event/EventController.js HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:30 +0530] "GET /CollaborationFrontEnd/c_resources/css/my.css HTTP/1.1" 200 9119
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:30 +0530] "GET /CollaborationFrontEnd/c_resources/css/default.css HTTP/1.1" 200 3899
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:30 +0530] "GET /CollaborationFrontEnd/c_resources/css/style.css HTTP/1.1" 200 9119
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:30 +0530] "GET /CollaborationFrontEnd/c_event/EventService.js HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:30 +0530] "GET /CollaborationFrontEnd/c_resources/images/isOnline.png HTTP/1.1" 200 28625
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:30 +0530] "GET /CollaborationFrontEnd/c_resources/images/logo4.png HTTP/1.1" 200 38248
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:30 +0530] "GET /CollaborationFrontEnd/c_resources/images/isOffline.png HTTP/1.1" 200 39524
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:31 +0530] "GET /CollaborationFrontEnd/mainApp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:31 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:31 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:31 +0530] "GET /CollaborationFrontEnd/c_forum/ForumController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:31 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:31 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:31 +0530] "GET /CollaborationFrontEnd/c_forum/ForumService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:31 +0530] "GET /CollaborationFrontEnd/c_friend/FriendController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:31 +0530] "GET /CollaborationFrontEnd/c_friend/FriendService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:31 +0530] "GET /CollaborationFrontEnd/c_admin/AdminController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:31 +0530] "GET /CollaborationFrontEnd/c_admin/AdminService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:31 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:32 +0530] "GET /CollaborationFrontEnd/c_job/JobService.js HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:32 +0530] "GET /CollaborationFrontEnd/c_resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:32 +0530] "GET /CollaborationFrontEnd/views/home.html HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:32 +0530] "GET /CollaborationController/viewPendingRequest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:32 +0530] "GET /CollaborationController/myFriends HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:32 +0530] "GET /CollaborationController/viewSentRequest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:32 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:19:32 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:20:16 +0530] "GET /CollaborationFrontEnd/views/login.html HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:20:16 +0530] "GET /CollaborationFrontEnd/c_resources/images/login5.jpg HTTP/1.1" 200 61336
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:20:21 +0530] "POST /CollaborationController/login HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:20:21 +0530] "GET /CollaborationFrontEnd/c_resources//images/Koffi HTTP/1.1" 200 53637
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:20:35 +0530] "GET /CollaborationController/logout/ HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [22/Jun/2018:13:25:04 +0530] "POST /CollaborationController/login HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [22/Jun/2018:14:52:22 +0530] "GET /CollaborationFrontEnd/c_event/viewEvents.html HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [22/Jun/2018:14:52:22 +0530] "GET /CollaborationFrontEnd/c_resources/img/h1.png HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [22/Jun/2018:14:52:22 +0530] "GET /CollaborationFrontEnd/c_resources/images/event2.jpg HTTP/1.1" 200 41468
0:0:0:0:0:0:0:1 - - [22/Jun/2018:14:52:22 +0530] "GET /CollaborationController/getEvents HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [22/Jun/2018:14:52:22 +0530] "GET /CollaborationFrontEnd/c_resources/images/white.jpg HTTP/1.1" 200 55745
0:0:0:0:0:0:0:1 - - [22/Jun/2018:14:52:23 +0530] "GET /CollaborationFrontEnd/c_job/jobs.html HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [22/Jun/2018:14:52:23 +0530] "GET /CollaborationController/viewMyJobs HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:14:52:23 +0530] "GET /CollaborationFrontEnd/c_resources/images/job1.jpg HTTP/1.1" 200 130096
0:0:0:0:0:0:0:1 - - [22/Jun/2018:14:52:23 +0530] "GET /CollaborationController/getAllJobs HTTP/1.1" 200 242
