127.0.0.1 - - [26/Jun/2018:08:21:20 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [26/Jun/2018:08:21:21 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:08:21:21 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:08:21:21 +0530] "GET /CollaborationFrontEnd/c_job/JobService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:08:21:21 +0530] "GET /CollaborationFrontEnd/c_friend/FriendService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:08:21:21 +0530] "GET /CollaborationFrontEnd/mainApp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:08:21:21 +0530] "GET /CollaborationFrontEnd/c_chat/ChatController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:08:21:21 +0530] "GET /CollaborationFrontEnd/c_chat/ChatService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:08:21:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [26/Jun/2018:08:21:22 +0530] "GET /CollaborationController/myFriends HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:08:21:22 +0530] "GET /CollaborationController/viewSentRequest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:08:21:22 +0530] "GET /CollaborationController/viewPendingRequest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:08:21:33 +0530] "POST /CollaborationController/login HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [26/Jun/2018:08:21:40 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:08:21:41 +0530] "GET /CollaborationController/viewPendingRequest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:08:21:41 +0530] "GET /CollaborationController/myFriends HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [26/Jun/2018:08:21:41 +0530] "GET /CollaborationController/viewSentRequest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:08:25:34 +0530] "GET /CollaborationController/logout/ HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:33 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:33 +0530] "GET /CollaborationFrontEnd/c_chat/ChatService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:33 +0530] "GET /CollaborationFrontEnd/c_chat/ChatController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:33 +0530] "GET /CollaborationFrontEnd/c_friend/FriendController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:33 +0530] "GET /CollaborationFrontEnd/c_admin/AdminService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:33 +0530] "GET /CollaborationController/viewPendingRequest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:33 +0530] "GET /CollaborationController/myFriends HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:33 +0530] "GET /CollaborationController/viewSentRequest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:57 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:57 +0530] "GET /CollaborationFrontEnd/c_resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:57 +0530] "GET /CollaborationFrontEnd/c_resources/css/theme.css HTTP/1.1" 200 131226
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:57 +0530] "GET /CollaborationFrontEnd/c_user/UserListController.js HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:57 +0530] "GET /CollaborationFrontEnd/c_resources/css/default.css HTTP/1.1" 200 3899
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:57 +0530] "GET /CollaborationFrontEnd/c_resources/css/style.css HTTP/1.1" 200 9119
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:57 +0530] "GET /CollaborationFrontEnd/c_chat/ChatController.js HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:57 +0530] "GET /CollaborationFrontEnd/c_event/EventController.js HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:57 +0530] "GET /CollaborationFrontEnd/c_event/EventService.js HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:57 +0530] "GET /CollaborationFrontEnd/c_resources/css/my.css HTTP/1.1" 200 9119
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:57 +0530] "GET /CollaborationFrontEnd/c_resources/images/isOffline.png HTTP/1.1" 200 39524
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:57 +0530] "GET /CollaborationFrontEnd/c_resources/images/logo4.png HTTP/1.1" 200 38248
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:57 +0530] "GET /CollaborationFrontEnd/c_resources/images/isOnline.png HTTP/1.1" 200 28625
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:57 +0530] "GET /CollaborationFrontEnd/c_chat/ChatService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:57 +0530] "GET /CollaborationFrontEnd/c_resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:57 +0530] "GET /CollaborationController/viewPendingRequest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:57 +0530] "GET /CollaborationController/myFriends HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:57 +0530] "GET /CollaborationController/viewSentRequest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:57 +0530] "GET /CollaborationFrontEnd/views/login.html HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:31:58 +0530] "GET /CollaborationFrontEnd/c_resources/images/login5.jpg HTTP/1.1" 200 61336
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:32:12 +0530] "POST /CollaborationController/login HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:32:28 +0530] "POST /CollaborationController/login HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:32:28 +0530] "GET /CollaborationFrontEnd/c_resources//images/Mala HTTP/1.1" 200 108519
0:0:0:0:0:0:0:1 - - [26/Jun/2018:10:32:28 +0530] "GET /CollaborationFrontEnd/views/home.html HTTP/1.1" 200 131
