127.0.0.1 - - [10/Jun/2018:06:56:16 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:17 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 8549
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:17 +0530] "GET /CollaborationFrontEnd/c_resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:17 +0530] "GET /CollaborationFrontEnd/c_resources/css/theme.css HTTP/1.1" 200 131226
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:17 +0530] "GET /CollaborationFrontEnd/c_resources/css/default.css HTTP/1.1" 200 3899
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:17 +0530] "GET /CollaborationFrontEnd/c_resources/css/my.css HTTP/1.1" 200 9119
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:17 +0530] "GET /CollaborationFrontEnd/c_resources/css/style.css HTTP/1.1" 200 9119
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:17 +0530] "GET /CollaborationFrontEnd/c_user/UserListController.js HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:17 +0530] "GET /CollaborationFrontEnd/c_friend/FriendController.js HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:17 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:17 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:17 +0530] "GET /CollaborationFrontEnd/c_friend/FriendService.js HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:17 +0530] "GET /CollaborationFrontEnd/c_resources/images/isOnline.png HTTP/1.1" 200 28625
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:17 +0530] "GET /CollaborationFrontEnd/c_resources/images/logo4.png HTTP/1.1" 200 38248
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:17 +0530] "GET /CollaborationFrontEnd/c_resources/images/isOffline.png HTTP/1.1" 200 39524
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:18 +0530] "GET /CollaborationFrontEnd/mainApp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:18 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:18 +0530] "GET /CollaborationFrontEnd/c_forum/ForumController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:18 +0530] "GET /CollaborationFrontEnd/c_forum/ForumService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:18 +0530] "GET /CollaborationFrontEnd/c_admin/AdminController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:18 +0530] "GET /CollaborationFrontEnd/c_admin/AdminService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:18 +0530] "GET /CollaborationFrontEnd/c_resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:18 +0530] "GET /CollaborationFrontEnd/views/home.html HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:18 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:18 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:25 +0530] "GET /CollaborationFrontEnd/views/login.html HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:25 +0530] "GET /CollaborationFrontEnd/c_resources/images/login5.jpg HTTP/1.1" 200 61336
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:35 +0530] "POST /CollaborationController/login/ HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:35 +0530] "GET /CollaborationFrontEnd/c_resources//images/Koffi HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:35 +0530] "GET /CollaborationFrontEnd/c_resources/images/profilepic.png HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:40 +0530] "GET /CollaborationFrontEnd/c_forum/forums.html HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:40 +0530] "GET /c_resources/images/forum2.jpg HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:40 +0530] "GET /CollaborationController/viewApprovedForums HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:40 +0530] "GET /resources/images/white.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:42 +0530] "GET /c_resources/images/forum2.jpg HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:42 +0530] "GET /CollaborationController/viewApprovedForums HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:42 +0530] "GET /resources/images/white.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:56 +0530] "POST /CollaborationController/addForum HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:59 +0530] "GET /c_resources/images/forum2.jpg HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:59 +0530] "GET /CollaborationController/viewApprovedForums HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [10/Jun/2018:06:56:59 +0530] "GET /resources/images/white.jpg HTTP/1.1" 404 1108
