127.0.0.1 - - [02/May/2018:08:57:27 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/May/2018:08:58:01 +0530] "POST /CollaborationController/addUser HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [02/May/2018:08:59:13 +0530] "DELETE /CollaborationController/deleteByUserName-Djaitai1 HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [02/May/2018:09:00:31 +0530] "POST /CollaborationController/addUser HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [02/May/2018:09:04:35 +0530] "POST /CollaborationController/addUser HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [02/May/2018:09:08:34 +0530] "POST /CollaborationController/addUser HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [02/May/2018:10:07:17 +0530] "POST /CollaborationController/addJob HTTP/1.1" 500 3695
0:0:0:0:0:0:0:1 - - [02/May/2018:10:07:35 +0530] "POST /CollaborationController/addJob HTTP/1.1" 500 3695
0:0:0:0:0:0:0:1 - - [02/May/2018:10:08:44 +0530] "POST /CollaborationController/addJob HTTP/1.1" 500 3695
0:0:0:0:0:0:0:1 - - [02/May/2018:10:08:56 +0530] "POST /CollaborationController/addJob HTTP/1.1" 500 3695
0:0:0:0:0:0:0:1 - - [02/May/2018:10:10:04 +0530] "POST /CollaborationController/addJob HTTP/1.1" 500 3695
0:0:0:0:0:0:0:1 - - [02/May/2018:10:10:19 +0530] "POST /CollaborationController/addJob HTTP/1.1" 500 3695
0:0:0:0:0:0:0:1 - - [02/May/2018:10:10:41 +0530] "POST /CollaborationController/addJob HTTP/1.1" 500 3695
0:0:0:0:0:0:0:1 - - [02/May/2018:10:11:02 +0530] "POST /CollaborationController/addJob HTTP/1.1" 500 3695
0:0:0:0:0:0:0:1 - - [02/May/2018:10:11:37 +0530] "POST /CollaborationController/addJob HTTP/1.1" 500 3695
0:0:0:0:0:0:0:1 - - [02/May/2018:10:11:54 +0530] "POST /CollaborationController/addJob HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [02/May/2018:10:13:42 +0530] "POST /CollaborationController/addJob HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [02/May/2018:10:17:06 +0530] "POST /CollaborationController/addJob HTTP/1.1" 500 3963
0:0:0:0:0:0:0:1 - - [02/May/2018:10:19:46 +0530] "POST /CollaborationController/addJob HTTP/1.1" 500 3963
0:0:0:0:0:0:0:1 - - [02/May/2018:10:28:05 +0530] "POST /CollaborationController/addJob HTTP/1.1" 500 3963
0:0:0:0:0:0:0:1 - - [02/May/2018:10:28:20 +0530] "POST /CollaborationController/addJob HTTP/1.1" 500 3963
0:0:0:0:0:0:0:1 - - [02/May/2018:10:42:01 +0530] "POST /CollaborationController/addJob HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [02/May/2018:10:51:30 +0530] "POST /CollaborationController/addJob HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [02/May/2018:10:57:59 +0530] "POST /CollaborationController/addJob HTTP/1.1" 200 718
