0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:44 +0530] "POST /CollaborationController/addForum HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:46 +0530] "GET /c_resources/images/forum2.jpg HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:46 +0530] "GET /CollaborationController/viewApprovedForums HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:46 +0530] "GET /resources/images/white.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:49 +0530] "GET /c_resources/images/admin7.jpg HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:50 +0530] "GET /CollaborationController/viewApplications HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:50 +0530] "GET /CollaborationController/getEvents HTTP/1.1" 500 3975
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:50 +0530] "GET /CollaborationController/admin_getAllBlogs HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:50 +0530] "GET /CollaborationController/viewAllForums HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:42:50 +0530] "GET /CollaborationController/getAllUserList HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:36 +0530] "GET /c_resources/images/forum2.jpg HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:36 +0530] "GET /CollaborationController/viewApprovedForums HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:36 +0530] "GET /resources/images/white.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:39 +0530] "GET /CollaborationController/getForum-10001 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:39 +0530] "GET /CollaborationController/getForumReplies-10001 HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:39 +0530] "GET /CollaborationFrontEnd/c_resources/images/Koffi HTTP/1.1" 200 53637
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:39 +0530] "GET /CollaborationController/viewApprovedForums HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:43 +0530] "GET /c_resources/images/forum2.jpg HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:43 +0530] "GET /CollaborationController/viewApprovedForums HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:43 +0530] "GET /resources/images/white.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:45 +0530] "GET /c_resources/images/forum2.jpg HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:45 +0530] "GET /CollaborationController/viewApprovedForums HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:45 +0530] "GET /resources/images/white.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:52 +0530] "POST /CollaborationController/addForum HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:56 +0530] "GET /c_resources/images/forum2.jpg HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:56 +0530] "GET /CollaborationController/viewApprovedForums HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [14/Jun/2018:08:50:56 +0530] "GET /resources/images/white.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [14/Jun/2018:09:04:36 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:09:04:36 +0530] "GET /CollaborationFrontEnd/c_resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:09:04:36 +0530] "GET /CollaborationFrontEnd/c_resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:09:04:36 +0530] "GET /CollaborationFrontEnd/c_resources/css/my.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:09:04:36 +0530] "GET /CollaborationFrontEnd/c_resources/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:09:04:36 +0530] "GET /CollaborationFrontEnd/c_resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:09:04:36 +0530] "GET /CollaborationFrontEnd/c_resources/css/theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:09:04:36 +0530] "GET /CollaborationFrontEnd/c_resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:09:04:36 +0530] "GET /CollaborationFrontEnd/c_resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:09:04:36 +0530] "GET /CollaborationFrontEnd/c_resources/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:09:04:36 +0530] "GET /CollaborationFrontEnd/mainApp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:09:04:36 +0530] "GET /CollaborationFrontEnd/c_resources/js/sockjs.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:09:04:36 +0530] "GET /CollaborationFrontEnd/c_resources/js/stomp.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:09:04:36 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 304 -
